source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Nikhil Agarwal,"Mukesh Ambani’s long game: How Reliance could turn a 3-year spending spree into Rs 90,000 crore of free cash flow","Reliance Industries could generate nearly Rs 90,000 crore in cumulative free cash flow over FY26-FY28 as its heavy investment cycle eases, brokerages say. Stronger earnings from energy and Jio, coupled with moderating capex, may reduce leverage and mark the b…",https://economictimes.indiatimes.com/markets/stocks/news/mukesh-ambanis-long-game-how-reliance-could-turn-a-3-year-spending-spree-into-rs-90000-crore-of-free-cash-flow/articleshow/132597133.cms,"https://img.etimg.com/thumb/msid-132597211,width-1200,height-630,imgsize-2271630,overlay-etmarkets/articleshow.jpg",2026-07-24T05:29:02Z,"Billionaire Mukesh Ambanis three-year investment binge may finally be approaching its payoff phase. Reliance Industries, which operated with materially negative free cash flow during the period, coul… [+6264 chars]"
"{'id': None, 'name': 'Economictimes.com'}",IANS,"12 stocks that Goldman Sachs, Axis, InCred Equities are bullish on. Here’s the full list",Leading brokerage firms have identified twelve Indian stocks for investment. Goldman Sachs favors Reliance Industries and Adani Power among others. InCred Equities sees significant upside in APAR Industries and CONCOR. Axis Bank has also recommended Chalet Ho…,https://m.economictimes.com/markets/stocks/news/12-stocks-that-goldman-sachs-axis-incred-equities-are-bullish-on-heres-the-full-list/solid-bets/slideshow/132571220.cms,"https://img.etimg.com/thumb/msid-132571220,width-1200,height-900,overlay-etmarkets/slideshow.jpg",2026-07-23T03:17:48Z,"Jul 23, 2026, 08:54:01 AM IST
With the Nifty50 down 8% in 2026 amid the Iran war and elevated oil prices, these 12 large, mid and small cap stocks have emerged as picks from three leading brokerage … [+3135 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Debaroti Adhikary,Market wrap: Top gainers and losers on Nifty and Sensex today,"Indian benchmark indices extended losses on Tuesday, with the Sensex falling 238 points and the Nifty closing below 24,200. While HDFC Bank, Reliance Industries and SBI weighed on the benchmarks, broader markets outperformed as the Nifty Midcap 100 and Smallc…",https://economictimes.indiatimes.com/markets/stocks/news/market-wrap-top-gainers-and-losers-on-nifty-and-sensex-today/articleshow/132534866.cms,"https://img.etimg.com/thumb/msid-132535007,width-1200,height-630,imgsize-168352,overlay-etmarkets/articleshow.jpg",2026-07-21T11:24:15Z,"The Indian stock market extended losses on Tuesday, with Sensex and Nifty dropping up to 0.3% despite a fall in oil prices following reports of mediation efforts between the US and Iran.Sensex droppe… [+1323 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Kalpana Pathak,RIL sees better global refining margins despite oilfield attacks,Reliance Industries anticipates stronger global refining margins in upcoming quarters. Structural capacity losses in Russia and the Middle East support this positive outlook. Near-term oil sourcing remains uncertain due to escalating Iran tensions and Strait …,https://economictimes.indiatimes.com/industry/energy/oil-gas/ril-sees-better-global-refining-margins-despite-oilfield-attacks/articleshow/132522990.cms,"https://img.etimg.com/thumb/msid-132523030,width-1200,height-630,imgsize-329492,overlay-economictimes/articleshow.jpg",2026-07-20T18:42:57Z,"Mumbai: Reliance Industries said it is reasonably bullish on global refining margins in the coming quarters, citing structural capacity losses in Russia and the Middle East, even as near-term uncerta… [+1692 chars]"
"{'id': None, 'name': 'BusinessLine'}","KS Badri Narayanan, Madhu Balaji, Team BL","Q1 Results Today Highlights: UltraTech profit rises; IOB, KVB and Sobha post strong Q1 growth; Mahindra Logistics, Dynamic Cables, Jaiprakash Power, Shyam Metalics surge","Q1 Results Today, 20th July 2026 Highlights: Find all the latest Q1 results 2026 updates of UltraTech Cement, Indian Overseas Bank, Authum Investment & Infrastructure, Karur Vysya Bank, Shyam Metalics & Energy, Central Mine Planning & Design Institute, Sobha,…",https://www.thehindubusinessline.com/markets/q1-results-today-highlights-cement-paytm-iob-karur-vysya-bank-shyam-metalics-sobha-jp-power-bluestone-hdfc-bank-kotak-icici-yes-bank-axis-bank-ril-results-20-july-2026/article71241085.ece,https://bl-i.thgim.com/public/incoming/hv5pl/article71241084.ece/alternates/LANDSCAPE_1200/IMG_Businessman_investor_2_1_USD136N3.jpg,2026-07-20T15:51:33Z,"<li></li>
July 20, 2026 21:19DP Abhushan posts 77% rise in Q1 PAT to Rs 64.45 crore
Jewellery retailer D P Abhushan on Monday reported 77 per cent growth in profit after tax at Rs 64.45 crore in th… [+22166 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Veer Sharma,Reliance Industries share price target: What are brokerages saying after Q1 results?,"Reliance Industries shares gained after the conglomerate reported better-than-expected June quarter earnings, driven by robust growth across its energy, digital and refining businesses. Brokerages remained bullish on the stock, with several reiterating Buy ra…",https://economictimes.indiatimes.com/markets/stocks/news/reliance-industries-share-price-target-what-are-brokerages-saying-after-q1-results/articleshow/132505723.cms,"https://img.etimg.com/thumb/msid-132505719,width-1200,height-630,imgsize-34218,overlay-etmarkets/articleshow.jpg",2026-07-20T04:07:01Z,"Shares of Mukesh Ambani-led Reliance Industries rose over a per cent to Rs 1,342 on the BSE on Monday after the conglomerate reported June quarter earnings that topped street expectations on the back… [+5396 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Akash Podishetti,"Stocks in news: ICICI Bank, YES Bank, Kotak Bank, RIL, Axis Bank","Markets advanced Friday, gaining over one percent despite weak global cues. Analysts await quarterly results from Reliance Industries, HDFC Bank, and ICICI Bank. ICICI Bank reported a 16% year-on-year net profit increase for the June quarter. YES Bank and PNB…",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-icici-bank-yes-bank-kotak-bank-ril-axis-bank/articleshow/132497296.cms,"https://img.etimg.com/thumb/msid-132497286,width-1200,height-630,imgsize-605584,overlay-etmarkets/articleshow.jpg",2026-07-20T00:41:00Z,"Markets staged a strong advance on Friday and gained over a percent despite weak global cues. Looking ahead, analysts will react to the quarterly results of heavyweights Reliance Industries, HDFC Ban… [+2618 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Sachin Kumar,"Refining gains, clean energy push lift Reliance outlook despite retail drag",Reliance Industries' energy division performance offset retail and Jio BP weakness in the June quarter. Elevated product cracks are expected to benefit refining margins due to global fuel supply disruptions. The company aims for peak refinery utilization thro…,https://economictimes.indiatimes.com/markets/stocks/earnings/refining-gains-clean-energy-push-lift-reliance-outlook-despite-retail-drag/articleshow/132503773.cms,"https://img.etimg.com/thumb/msid-132503779,width-1200,height-630,imgsize-89596,overlay-etmarkets/articleshow.jpg",2026-07-20T00:32:57Z,ET Intelligence Group: A strong performance by the energy division helped Reliance Industries (RIL) offset weakness in retail and Jio BP segments in the June quarter. The refining margins are expecte… [+2835 chars]
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Writankar Mukherjee,Reliance Industries' FMCG business turns EBITDA positive for the first time,"Reliance Industries' FMCG arm, Reliance Consumer Products Ltd (RCPL), has turned EBITDA-positive for the first time, a key milestone as it scales its consumer brands business. Management said profitability will improve further as supply chain investments are …",https://economictimes.indiatimes.com/industry/cons-products/fmcg/reliance-industries-fmcg-arm-turns-ebitda-positive-for-first-time-management-expects-profitability-to-improve-further/articleshow/132494672.cms,"https://img.etimg.com/thumb/msid-132494676,width-1200,height-630,imgsize-54026,overlay-economictimes/articleshow.jpg",2026-07-19T12:34:45Z,"Reliance Industries' fast-moving consumer goods (FMCG) business has turned EBITDA-positive for the first time, marking a key milestone as the company rapidly scales up its consumer brands business, w… [+3444 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,M-cap of five of top 10 most valued firms jumps Rs 1.54 lakh cr; TCS biggest winner,"Last week marked a significant uplift in the market valuation of five of the top 10 firms, appreciating by Rs 1.54 lakh crore. Tata Consultancy Services claimed the spotlight, boosting its valuation by Rs 72,072.3 crore. ICICI Bank and Reliance Industries als…",https://economictimes.indiatimes.com/markets/stocks/news/m-cap-of-five-of-top-10-most-valued-firms-jumps-rs-1-54-lakh-cr-tcs-biggest-winner/articleshow/132490890.cms,"https://img.etimg.com/thumb/msid-132490890,width-1200,height-630,imgsize-25428,overlay-etmarkets/articleshow.jpg",2026-07-19T06:46:18Z,"The combined market valuation of five of the top-10 most valued firms jumped Rs 1.54 lakh crore last week, with IT major TCS emerging as the biggest winner, in line with a positive trend in equities.… [+2213 chars]"
